attacker_template,attacker_name,attacker_archetype,defender_template,defender_name,defender_archetype,defender_cluster_tier,base_weight,weight,basis,source,rationale
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaGattlingCannon,Gattling Cannon,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaTankBattleMaster,Battlemaster,tank_medium,medium,3,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaTankDragon,Dragon Tank,tank_medium,medium,2,2,override,INI-cost,3-4 Rangers ($675-900 vs $800) at 12.5DPS each = 37-50DPS to 280HP = ~6-8s; but Dragon flame sweeps group in 0.5s at range 75. Still heavily Dragon-favored
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaTankGattling,Gattling Tank,vehicle_anti_air,medium,3,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaTankOverlord,Overlord,tank_heavy,hard,2,1,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaVehicleInfernoCannon,Inferno Cannon,artillery,medium,4,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaVehicleNukeLauncher,Nuke Cannon,artillery,medium,4,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAInfantryAngryMobNexus,<<ANGRY M0B>>,infantry_rifle,easy,5,5,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAInfantryWorker,Worker,infantry_rifle,easy,5,5,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAStingerSite,Stinger Site,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLATankMarauder,Marauder Tank,tank_heavy,hard,2,1,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLATankScorpion,Scorpion,tank_medium,medium,3,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLATunnelNetwork,Tunnel Network,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAVehicleBombTruck,Bomb Truck,suicide,easy,7,6,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAVehicleQuadCannon,Quad Cannon,vehicle_anti_air,medium,3,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAVehicleRocketBuggy,Rocket Buggy,artillery,medium,4,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAVehicleScudLauncher,SCUD Launcher,artillery,medium,4,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,GLAVehicleTechnical,Technical,vehicle_light,easy,4,4,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaInfantryPathfinder,Pathfinder,infantry_elite,easy,6,5,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaPatriotBattery,Patriot Missile,base_defense,medium,3,2,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaTankCrusader,Crusader,tank_medium,medium,7,6,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaTankPaladin,Paladin,tank_heavy,hard,7,5,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaVehicleChinook,Chinook,support,hard,5,3,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaVehicleComanche,Comanche,air_helicopter,hard,6,4,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaVehicleHumvee,Humvee,vehicle_light,easy,8,7,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaVehicleMedic,Ambulance,vehicle_light,medium,8,6,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,AmericaVehicleTomahawk,Tomahawk,artillery,medium,9,7,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaBunker,Bunker,base_defense,medium,3,2,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaGattlingCannon,Gattling Cannon,base_defense,medium,3,2,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaTankBattleMaster,Battlemaster,tank_medium,medium,7,6,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaTankDragon,Dragon Tank,tank_medium,medium,7,6,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaTankGattling,Gattling Tank,vehicle_anti_air,medium,1,1,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaTankOverlord,Overlord,tank_heavy,hard,7,5,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaVehicleInfernoCannon,Inferno Cannon,artillery,medium,9,7,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,ChinaVehicleNukeLauncher,Nuke Cannon,artillery,medium,9,7,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAInfantryAngryMobNexus,<<ANGRY M0B>>,infantry_rifle,easy,7,6,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAInfantryWorker,Worker,infantry_rifle,easy,7,6,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAStingerSite,Stinger Site,base_defense,medium,3,2,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLATankMarauder,Marauder Tank,tank_heavy,hard,7,5,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLATankScorpion,Scorpion,tank_medium,medium,7,6,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLATunnelNetwork,Tunnel Network,base_defense,medium,3,2,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAVehicleBombTruck,Bomb Truck,suicide,easy,8,7,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAVehicleQuadCannon,Quad Cannon,vehicle_anti_air,medium,1,1,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAVehicleRocketBuggy,Rocket Buggy,artillery,medium,9,7,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAVehicleScudLauncher,SCUD Launcher,artillery,medium,9,7,archetype_matrix,,
AmericaJetAurora,Aurora Bomber,air_plane,GLAVehicleTechnical,Technical,vehicle_light,easy,8,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaInfantryPathfinder,Pathfinder,infantry_elite,easy,6,5,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaPatriotBattery,Patriot Missile,base_defense,medium,3,2,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaTankCrusader,Crusader,tank_medium,medium,7,6,override,INI-DPS,JET_MISSILES 100% vs TankArmor; burst damage over passes
AmericaJetRaptor,Raptor,air_plane,AmericaTankPaladin,Paladin,tank_heavy,hard,7,5,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaVehicleChinook,Chinook,support,hard,5,3,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaVehicleComanche,Comanche,air_helicopter,hard,6,4,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaVehicleHumvee,Humvee,vehicle_light,easy,8,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaVehicleMedic,Ambulance,vehicle_light,medium,8,6,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,AmericaVehicleTomahawk,Tomahawk,artillery,medium,9,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,ChinaBunker,Bunker,base_defense,medium,3,2,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,ChinaGattlingCannon,Gattling Cannon,base_defense,medium,3,2,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,ChinaTankBattleMaster,Battlemaster,tank_medium,medium,7,6,override,INI-DPS,Aircraft attack passes effective vs tanks
AmericaJetRaptor,Raptor,air_plane,ChinaTankDragon,Dragon Tank,tank_medium,medium,7,6,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,ChinaTankGattling,Gattling Tank,vehicle_anti_air,medium,2,2,override,INI-DPS,JET_MISSILES 30% vs AntiAirVehicle; Gatling 120% back. AA counter
AmericaJetRaptor,Raptor,air_plane,ChinaTankOverlord,Overlord,tank_heavy,hard,8,6,override,CNCW-Overlord,Aircraft recommended counter; multiple passes needed for 1100HP
AmericaJetRaptor,Raptor,air_plane,ChinaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,ChinaVehicleInfernoCannon,Inferno Cannon,artillery,medium,9,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,ChinaVehicleNukeLauncher,Nuke Cannon,artillery,medium,9,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAInfantryAngryMobNexus,<<ANGRY M0B>>,infantry_rifle,easy,7,6,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAInfantryWorker,Worker,infantry_rifle,easy,7,6,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAStingerSite,Stinger Site,base_defense,medium,3,2,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLATankMarauder,Marauder Tank,tank_heavy,hard,7,5,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLATankScorpion,Scorpion,tank_medium,medium,7,6,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLATunnelNetwork,Tunnel Network,base_defense,medium,3,2,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAVehicleBombTruck,Bomb Truck,suicide,easy,8,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAVehicleQuadCannon,Quad Cannon,vehicle_anti_air,medium,2,2,override,INI-DPS,JET_MISSILES 30% vs AntiAirVehicle; Quad 120% back
AmericaJetRaptor,Raptor,air_plane,GLAVehicleRocketBuggy,Rocket Buggy,artillery,medium,9,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAVehicleScudLauncher,SCUD Launcher,artillery,medium,9,7,archetype_matrix,,
AmericaJetRaptor,Raptor,air_plane,GLAVehicleTechnical,Technical,vehicle_light,easy,8,7,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaInfantryPathfinder,Pathfinder,infantry_elite,easy,6,5,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaPatriotBattery,Patriot Missile,base_defense,medium,3,2,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaTankCrusader,Crusader,tank_medium,medium,7,5,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaTankPaladin,Paladin,tank_heavy,hard,7,4,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaVehicleChinook,Chinook,support,hard,5,3,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaVehicleComanche,Comanche,air_helicopter,hard,6,4,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaVehicleDozer,Construction Dozer,support,easy,5,4,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaVehicleHumvee,Humvee,vehicle_light,easy,8,6,archetype_matrix,,
AmericaJetStealthFighter,Stealth Fighter,air_plane,AmericaVehicleMedic,Ambulance,vehicle_light,medium,8,5,archetype_matrix,,
