# Filtered dump - spawnable units/buildings only
# name	unit|building
AmericaTankPaladin	unit
AmericaVehicleBattleDrone	unit
AmericaVehicleBattleShip	unit
AmericaVehicleComanche	unit
AmericaVehicleGuardianDrone	unit
AmericaVehicleHumvee	unit
AmericaVehicleMedic	unit
AmericaVehicleRepairDrone	unit
AmericaVehicleScoutDrone	unit
AmericaVehicleSpyDrone	unit
AmericaVehicleTomahawk	unit
Chem_GLAInfantryAngryMobMolotov02	unit
Chem_GLAInfantryAngryMobNexus	unit
Chem_GLAInfantryAngryMobPistol01	unit
Chem_GLAInfantryAngryMobPistol03	unit
Chem_GLAInfantryAngryMobPistol05	unit
Chem_GLAInfantryAngryMobRock02	unit
Chem_GLAInfantryAngryMobRock04	unit
Chem_GLAInfantryJarmenKell	unit
Chem_GLAInfantryStingerSoldier	unit
Chem_GLAInfantryTerrorist	unit
Chem_GLAInfantryTunnelDefender	unit
Chem_GLATankMarauder	unit
Chem_GLATankScorpion	unit
Chem_GLAVehicleBombTruck	unit
Chem_GLAVehicleQuadCannon	unit
Chem_GLAVehicleRadarVan	unit
Chem_GLAVehicleRocketBuggy	unit
Chem_GLAVehicleScudLauncher	unit
Chem_GLAVehicleTechnical	unit
Chem_GLAVehicleTechnicalChassisOne	unit
Chem_GLAVehicleTechnicalChassisThree	unit
Chem_GLAVehicleTechnicalChassisTwo	unit
Chem_GLAVehicleToxinTruck	unit
ChinaInfantryAgent	unit
ChinaInfantryBlackLotus	unit
ChinaInfantryHacker	unit
ChinaInfantryOfficer	unit
ChinaInfantrySecretPolice	unit
ChinaInfantryTankHunter	unit
ChinaJetCargoPlane	unit
ChinaJetMIG	unit
ChinaJetMIGNapalmStriker	unit
ChinaTankBattleMaster	unit
ChinaTankDragon	unit
ChinaTankGattling	unit
ChinaTankOverlord	unit
ChinaTankOverlordBattleBunker	unit
ChinaTankOverlordGattlingCannon	unit
ChinaTankOverlordPropagandaTower	unit
ChinaVehicleInfernoCannon	unit
ChinaVehicleNukeLauncher	unit
ChinaVehicleTroopCrawler	unit
Demo_GLAInfantryAngryMobMolotov02	unit
Demo_GLAInfantryAngryMobNexus	unit
Demo_GLAInfantryAngryMobPistol01	unit
Demo_GLAInfantryAngryMobPistol03	unit
Demo_GLAInfantryAngryMobPistol05	unit
Demo_GLAInfantryAngryMobRock02	unit
Demo_GLAInfantryAngryMobRock04	unit
Demo_GLAInfantryHijacker	unit
Demo_GLAInfantryJarmenKell	unit
Demo_GLAInfantrySaboteur	unit
Demo_GLAInfantryStingerSoldier	unit
Demo_GLAInfantryTerrorist	unit
Demo_GLAInfantryTunnelDefender	unit
Demo_GLATankMarauder	unit
Demo_GLATankScorpion	unit
Demo_GLAVehicleBombTruck	unit
Demo_GLAVehicleQuadCannon	unit
Demo_GLAVehicleRadarVan	unit
Demo_GLAVehicleRocketBuggy	unit
Demo_GLAVehicleScudLauncher	unit
Demo_GLAVehicleTechnical	unit
Demo_GLAVehicleTechnicalChassisOne	unit
Demo_GLAVehicleTechnicalChassisThree	unit
Demo_GLAVehicleTechnicalChassisTwo	unit
Demo_GLAVehicleToxinTruck	unit
GLAInfantryAngryMobMolotov02	unit
GLAInfantryAngryMobNexus	unit
GLAInfantryAngryMobPistol01	unit
GLAInfantryAngryMobPistol03	unit
GLAInfantryAngryMobPistol05	unit
GLAInfantryAngryMobRock02	unit
GLAInfantryAngryMobRock04	unit
GLAInfantryHijacker	unit
GLAInfantryJarmenKell	unit
GLAInfantrySaboteur	unit
GLAInfantryStingerSoldier	unit
GLAInfantryTerrorist	unit
GLAInfantryTunnelDefender	unit
GLAJetCargoPlane	unit
GLALightTank	unit
GLATankMarauder	unit
GLATankScorpion	unit
GLAVehicleBombTruck	unit
GLAVehicleQuadCannon	unit
GLAVehicleRadarVan	unit
GLAVehicleRocketBuggy	unit
GLAVehicleScudLauncher	unit
GLAVehicleTechnical	unit
GLAVehicleTechnicalChassisOne	unit
GLAVehicleTechnicalChassisThree	unit
GLAVehicleTechnicalChassisTwo	unit
GLAVehicleToxinTruck	unit
Infa_ChinaInfantryBlackLotus	unit
Infa_ChinaInfantryHacker	unit
Infa_ChinaInfantryTankHunter	unit
Infa_ChinaJetCargoPlane	unit
Infa_ChinaJetMIG	unit
Infa_ChinaTankDragon	unit
Infa_ChinaTankGattling	unit
Infa_ChinaVehicleInfernoCannon	unit
Infa_ChinaVehicleNukeLauncher	unit
Infa_ChinaVehicleTroopCrawler	unit
Lazr_AmericaInfantryColonelBurton	unit
Lazr_AmericaInfantryPathfinder	unit
Lazr_AmericaInfantryPilot	unit
Lazr_AmericaJetA10Thunderbolt	unit
Lazr_AmericaJetAurora	unit
Lazr_AmericaJetB52	unit
Lazr_AmericaJetCargoPlane	unit
Lazr_AmericaJetRaptor	unit
Lazr_AmericaJetStealthFighter	unit
Lazr_AmericaTankCrusader	unit
Lazr_AmericaTankPaladin	unit
Lazr_AmericaVehicleBattleDrone	unit
Lazr_AmericaVehicleComanche	unit
Lazr_AmericaVehicleHumvee	unit
Lazr_AmericaVehicleMedic	unit
Lazr_AmericaVehicleScoutDrone	unit
Lazr_AmericaVehicleSpyDrone	unit
Lazr_AmericaVehicleTomahawk	unit
Nuke_ChinaInfantryBlackLotus	unit
Nuke_ChinaInfantryHacker	unit
Nuke_ChinaInfantryTankHunter	unit
Nuke_ChinaJetCargoPlane	unit
Nuke_ChinaJetMIG	unit
Nuke_ChinaTankBattleMaster	unit
Nuke_ChinaTankDragon	unit
Nuke_ChinaTankGattling	unit
Nuke_ChinaTankOverlord	unit
Nuke_ChinaTankOverlordBattleBunker	unit
Nuke_ChinaTankOverlordGattlingCannon	unit
Nuke_ChinaTankOverlordPropagandaTower	unit
Nuke_ChinaVehicleInfernoCannon	unit
Nuke_ChinaVehicleNukeLauncher	unit
Nuke_ChinaVehicleTroopCrawler	unit
Slth_GLAInfantryAngryMobMolotov02	unit
Slth_GLAInfantryAngryMobNexus	unit
Slth_GLAInfantryAngryMobPistol01	unit
Slth_GLAInfantryAngryMobPistol03	unit
Slth_GLAInfantryAngryMobPistol05	unit
Slth_GLAInfantryAngryMobRock02	unit
Slth_GLAInfantryAngryMobRock04	unit
Slth_GLAInfantryHijacker	unit
Slth_GLAInfantryJarmenKell	unit
Slth_GLAInfantrySaboteur	unit
Slth_GLAInfantryStingerSoldier	unit
Slth_GLAInfantryTerrorist	unit
Slth_GLAInfantryTunnelDefender	unit
Slth_GLATankMarauder	unit
Slth_GLATankScorpion	unit
Slth_GLAVehicleBombTruck	unit
Slth_GLAVehicleQuadCannon	unit
Slth_GLAVehicleRadarVan	unit
Slth_GLAVehicleRocketBuggy	unit
Slth_GLAVehicleScudLauncher	unit
Slth_GLAVehicleTechnical	unit
Slth_GLAVehicleTechnicalChassisOne	unit
Slth_GLAVehicleTechnicalChassisThree	unit
Slth_GLAVehicleTechnicalChassisTwo	unit
Slth_GLAVehicleToxinTruck	unit
SupW_AmericaInfantryColonelBurton	unit
SupW_AmericaInfantryPathfinder	unit
SupW_AmericaInfantryPilot	unit
SupW_AmericaJetA10Thunderbolt	unit
SupW_AmericaJetAurora	unit
SupW_AmericaJetB52	unit
SupW_AmericaJetCargoPlane	unit
SupW_AmericaJetRaptor	unit
SupW_AmericaJetStealthFighter	unit
SupW_AmericaTankCrusader	unit
SupW_AmericaTankPaladin	unit
SupW_AmericaVehicleBattleDrone	unit
SupW_AmericaVehicleComanche	unit
SupW_AmericaVehicleHumvee	unit
SupW_AmericaVehicleMedic	unit
SupW_AmericaVehicleScoutDrone	unit
SupW_AmericaVehicleSpyDrone	unit
SupW_AmericaVehicleTomahawk	unit
Tank_ChinaInfantryBlackLotus	unit
Tank_ChinaInfantryHacker	unit
Tank_ChinaInfantryTankHunter	unit
Tank_ChinaJetCargoPlane	unit
Tank_ChinaJetMIG	unit
Tank_ChinaTankBattleMaster	unit
Tank_ChinaTankDragon	unit
Tank_ChinaTankGattling	unit
Tank_ChinaTankOverlordBattleBunker	unit
Tank_ChinaTankOverlordGattlingCannon	unit
Tank_ChinaTankOverlordPropagandaTower	unit
Tank_ChinaVehicleTroopCrawler	unit
